target,interval,profit
2,"range(51, 52)",0.01
2,"range(52, 53)",0.01
2,"range(53, 54)",0.01
2,"range(54, 55)",0.01
2,"range(55, 56)",0.01
2,"range(56, 57)",0.01
2,"range(57, 58)",0.01
2,"range(58, 59)",0.01
2,"range(59, 60)",0.01
2,"range(60, 61)",0.01
3,"range(1, 2)",0.01
3,"range(2, 3)",0.01
3,"range(3, 4)",0.01
3,"range(4, 5)",0.01
3,"range(5, 6)",0.01
3,"range(6, 7)",0.01
3,"range(7, 8)",0.01
3,"range(8, 9)",0.01
3,"range(9, 10)",0.01
3,"range(10, 11)",0.01
3,"range(11, 12)",0.01
3,"range(12, 13)",0.01
3,"range(13, 14)",0.01
3,"range(14, 15)",0.01
3,"range(15, 16)",0.01
3,"range(16, 17)",0.01
3,"range(17, 18)",0.01
3,"range(18, 19)",0.01
3,"range(19, 20)",0.01
3,"range(20, 21)",0.01
3,"range(21, 22)",0.01
3,"range(22, 23)",0.01
3,"range(23, 24)",0.01
3,"range(24, 25)",0.01
3,"range(25, 26)",0.01
3,"range(26, 27)",0.01
3,"range(27, 28)",0.01
3,"range(28, 29)",0.01
3,"range(29, 30)",0.01
3,"range(30, 31)",0.01
3,"range(31, 32)",0.01
3,"range(32, 33)",0.01
3,"range(33, 34)",0.01
3,"range(34, 35)",0.01
3,"range(35, 36)",0.01
3,"range(36, 37)",0.01
3,"range(37, 38)",0.01
3,"range(38, 39)",0.01
3,"range(39, 40)",0.01
3,"range(40, 41)",0.01
3,"range(41, 42)",0.01
3,"range(42, 43)",0.01
3,"range(43, 44)",0.01
3,"range(44, 45)",0.01
3,"range(45, 46)",0.01
3,"range(46, 47)",0.01
3,"range(47, 48)",0.01
3,"range(48, 49)",0.01
3,"range(49, 50)",0.01
3,"range(50, 51)",0.01
3,"range(51, 52)",0.01
3,"range(52, 53)",0.01
3,"range(53, 54)",0.01
3,"range(54, 55)",0.01
3,"range(55, 56)",0.01
3,"range(56, 57)",0.01
3,"range(57, 58)",0.01
3,"range(58, 59)",0.01
3,"range(59, 60)",0.01
3,"range(60, 61)",0.01
4,"range(1, 2)",0.01
4,"range(2, 3)",0.01
4,"range(3, 4)",0.01
4,"range(4, 5)",0.01
4,"range(5, 6)",0.01
4,"range(6, 7)",0.01
4,"range(7, 8)",0.01
4,"range(8, 9)",0.01
4,"range(9, 10)",0.01
4,"range(10, 11)",0.01
4,"range(11, 12)",0.01
4,"range(12, 13)",0.01
4,"range(13, 14)",0.01
4,"range(14, 15)",0.01
4,"range(15, 16)",0.01
4,"range(16, 17)",0.01
4,"range(17, 18)",0.01
4,"range(18, 19)",0.01
4,"range(19, 20)",0.01
4,"range(20, 21)",0.01
4,"range(21, 22)",0.01
4,"range(22, 23)",0.01
4,"range(23, 24)",0.01
4,"range(24, 25)",0.01
4,"range(25, 26)",0.01
4,"range(26, 27)",0.01
4,"range(27, 28)",0.01
4,"range(28, 29)",0.01
4,"range(29, 30)",0.01
4,"range(30, 31)",0.01
4,"range(31, 32)",0.01
4,"range(32, 33)",0.01
4,"range(33, 34)",0.01
4,"range(34, 35)",0.01
4,"range(35, 36)",0.01
4,"range(36, 37)",0.01
4,"range(37, 38)",0.01
4,"range(38, 39)",0.01
4,"range(39, 40)",0.01
4,"range(40, 41)",0.01
4,"range(41, 42)",0.01
4,"range(42, 43)",0.01
4,"range(43, 44)",0.01
4,"range(44, 45)",0.01
4,"range(45, 46)",0.01
4,"range(46, 47)",0.01
4,"range(47, 48)",0.01
4,"range(48, 49)",0.01
4,"range(49, 50)",0.01
4,"range(50, 51)",0.01
4,"range(51, 52)",0.01
4,"range(52, 53)",0.01
4,"range(53, 54)",0.01
4,"range(54, 55)",0.01
4,"range(55, 56)",0.01
4,"range(56, 57)",0.01
4,"range(57, 58)",0.01
4,"range(58, 59)",0.01
4,"range(59, 60)",0.01
4,"range(60, 61)",0.01
5,"range(1, 2)",0.01
5,"range(2, 3)",0.01
5,"range(3, 4)",0.01
5,"range(4, 5)",0.01
5,"range(5, 6)",0.01
5,"range(6, 7)",0.01
5,"range(7, 8)",0.01
5,"range(8, 9)",0.01
5,"range(9, 10)",0.01
5,"range(10, 11)",0.01
5,"range(11, 12)",0.01
5,"range(12, 13)",0.01
5,"range(13, 14)",0.01
5,"range(14, 15)",0.01
5,"range(15, 16)",0.01
5,"range(16, 17)",0.01
5,"range(17, 18)",0.01
5,"range(18, 19)",0.01
5,"range(19, 20)",0.01
5,"range(20, 21)",0.01
5,"range(21, 22)",0.01
5,"range(22, 23)",0.01
5,"range(23, 24)",0.01
5,"range(24, 25)",0.01
5,"range(25, 26)",0.01
5,"range(26, 27)",0.01
5,"range(27, 28)",0.01
5,"range(28, 29)",0.01
5,"range(29, 30)",0.01
5,"range(30, 31)",0.01
5,"range(31, 32)",0.01
5,"range(32, 33)",0.01
5,"range(33, 34)",0.01
5,"range(34, 35)",0.01
5,"range(35, 36)",0.01
5,"range(36, 37)",0.01
5,"range(37, 38)",0.01
5,"range(38, 39)",0.01
5,"range(39, 40)",0.01
5,"range(40, 41)",0.01
5,"range(41, 42)",0.01
5,"range(42, 43)",0.01
5,"range(43, 44)",0.01
5,"range(44, 45)",0.01
5,"range(45, 46)",0.01
5,"range(46, 47)",0.01
5,"range(47, 48)",0.01
5,"range(48, 49)",0.01
5,"range(49, 50)",0.01
5,"range(50, 51)",0.01
5,"range(51, 52)",0.01
5,"range(52, 53)",0.01
5,"range(53, 54)",0.01
5,"range(54, 55)",0.01
5,"range(55, 56)",0.01
5,"range(56, 57)",0.01
5,"range(57, 58)",0.01
5,"range(58, 59)",0.01
5,"range(59, 60)",0.01
5,"range(60, 61)",0.01
6,"range(1, 2)",0.01
6,"range(2, 3)",0.01
6,"range(3, 4)",0.01
6,"range(4, 5)",0.01
6,"range(5, 6)",0.01
6,"range(6, 7)",0.01
6,"range(7, 8)",0.01
6,"range(8, 9)",0.01
6,"range(9, 10)",0.01
6,"range(10, 11)",0.01
6,"range(11, 12)",0.01
6,"range(12, 13)",0.01
6,"range(13, 14)",0.01
6,"range(14, 15)",0.01
6,"range(15, 16)",0.01
6,"range(16, 17)",0.01
6,"range(17, 18)",0.01
6,"range(18, 19)",0.01
6,"range(19, 20)",0.01
6,"range(20, 21)",0.01
6,"range(21, 22)",0.01
6,"range(22, 23)",0.01
6,"range(23, 24)",0.01
6,"range(24, 25)",0.01
6,"range(25, 26)",0.01
6,"range(26, 27)",0.01
6,"range(27, 28)",0.01
6,"range(28, 29)",0.01
6,"range(29, 30)",0.01
6,"range(30, 31)",0.01
6,"range(31, 32)",0.01
6,"range(32, 33)",0.01
6,"range(33, 34)",0.01
6,"range(34, 35)",0.01
6,"range(35, 36)",0.01
6,"range(36, 37)",0.01
6,"range(37, 38)",0.01
6,"range(38, 39)",0.01
6,"range(39, 40)",0.01
6,"range(40, 41)",0.01
6,"range(41, 42)",0.01
6,"range(42, 43)",0.01
6,"range(43, 44)",0.01
6,"range(44, 45)",0.01
6,"range(45, 46)",0.01
6,"range(46, 47)",0.01
6,"range(47, 48)",0.01
6,"range(48, 49)",0.01
6,"range(49, 50)",0.01
6,"range(50, 51)",0.01
6,"range(51, 52)",0.01
6,"range(52, 53)",0.01
6,"range(53, 54)",0.01
6,"range(54, 55)",0.01
6,"range(55, 56)",0.01
6,"range(56, 57)",0.01
6,"range(57, 58)",0.01
6,"range(58, 59)",0.01
6,"range(59, 60)",0.01
6,"range(60, 61)",0.01
7,"range(1, 2)",0.01
7,"range(2, 3)",0.01
7,"range(3, 4)",0.01
7,"range(4, 5)",0.01
7,"range(5, 6)",0.01
7,"range(6, 7)",0.01
7,"range(7, 8)",0.01
7,"range(8, 9)",0.01
7,"range(9, 10)",0.01
7,"range(10, 11)",0.01
7,"range(11, 12)",0.01
7,"range(12, 13)",0.01
7,"range(13, 14)",0.01
7,"range(14, 15)",0.01
7,"range(15, 16)",0.01
7,"range(16, 17)",0.01
7,"range(17, 18)",0.01
7,"range(18, 19)",0.01
7,"range(19, 20)",0.01
7,"range(20, 21)",0.01
7,"range(21, 22)",0.01
7,"range(22, 23)",0.01
7,"range(23, 24)",0.01
7,"range(24, 25)",0.01
7,"range(25, 26)",0.01
7,"range(26, 27)",0.01
7,"range(27, 28)",0.01
7,"range(28, 29)",0.01
7,"range(29, 30)",0.01
7,"range(30, 31)",0.01
7,"range(31, 32)",0.01
7,"range(32, 33)",0.01
7,"range(33, 34)",0.01
7,"range(34, 35)",0.01
7,"range(35, 36)",0.01
7,"range(36, 37)",0.01
7,"range(37, 38)",0.01
7,"range(38, 39)",0.01
7,"range(39, 40)",0.01
7,"range(40, 41)",0.01
7,"range(41, 42)",0.01
7,"range(42, 43)",0.01
7,"range(43, 44)",0.01
7,"range(44, 45)",0.01
7,"range(45, 46)",0.01
7,"range(46, 47)",0.01
7,"range(47, 48)",0.01
7,"range(48, 49)",0.01
7,"range(49, 50)",0.01
7,"range(50, 51)",0.01
7,"range(51, 52)",0.01
7,"range(52, 53)",0.01
7,"range(53, 54)",0.01
7,"range(54, 55)",0.01
7,"range(55, 56)",0.01
7,"range(56, 57)",0.01
7,"range(57, 58)",0.01
7,"range(58, 59)",0.01
7,"range(59, 60)",0.01
7,"range(60, 61)",0.01
8,"range(1, 2)",0.01
8,"range(2, 3)",0.01
8,"range(3, 4)",0.01
8,"range(4, 5)",0.01
8,"range(5, 6)",0.01
8,"range(6, 7)",0.01
8,"range(7, 8)",0.01
8,"range(8, 9)",0.01
8,"range(9, 10)",0.01
8,"range(10, 11)",0.01
8,"range(11, 12)",0.01
8,"range(12, 13)",0.01
8,"range(13, 14)",0.01
8,"range(14, 15)",0.01
8,"range(15, 16)",0.01
8,"range(16, 17)",0.01
8,"range(17, 18)",0.01
8,"range(18, 19)",0.01
8,"range(19, 20)",0.01
8,"range(20, 21)",0.01
8,"range(21, 22)",0.01
8,"range(22, 23)",0.01
8,"range(23, 24)",0.01
8,"range(24, 25)",0.01
8,"range(25, 26)",0.01
8,"range(26, 27)",0.01
8,"range(27, 28)",0.01
8,"range(28, 29)",0.01
8,"range(29, 30)",0.01
8,"range(30, 31)",0.01
8,"range(31, 32)",0.01
8,"range(32, 33)",0.01
8,"range(33, 34)",0.01
8,"range(34, 35)",0.01
8,"range(35, 36)",0.01
8,"range(36, 37)",0.01
8,"range(37, 38)",0.01
8,"range(38, 39)",0.01
8,"range(39, 40)",0.01
8,"range(40, 41)",0.01
8,"range(41, 42)",0.01
8,"range(42, 43)",0.01
8,"range(43, 44)",0.01
8,"range(44, 45)",0.01
8,"range(45, 46)",0.01
8,"range(46, 47)",0.01
8,"range(47, 48)",0.01
8,"range(48, 49)",0.01
8,"range(49, 50)",0.01
8,"range(50, 51)",0.01
8,"range(51, 52)",0.01
8,"range(52, 53)",0.01
8,"range(53, 54)",0.01
8,"range(54, 55)",0.01
8,"range(55, 56)",0.01
8,"range(56, 57)",0.01
8,"range(57, 58)",0.01
8,"range(58, 59)",0.01
8,"range(59, 60)",0.01
8,"range(60, 61)",0.01
9,"range(1, 2)",0.3
9,"range(2, 3)",0.3857142857142857
9,"range(3, 4)",0.3999999999999999
9,"range(4, 5)",0.01
9,"range(5, 6)",0.01
9,"range(6, 7)",0.01
9,"range(7, 8)",0.01
9,"range(8, 9)",0.01
9,"range(9, 10)",0.01
9,"range(10, 11)",0.01
9,"range(11, 12)",0.3714285714285714
9,"range(12, 13)",0.3714285714285714
9,"range(13, 14)",1.1
9,"range(14, 15)",1.0857142857142856
9,"range(15, 16)",1.0714285714285714
9,"range(16, 17)",1.4142857142857144
9,"range(17, 18)",1.4285714285714286
9,"range(18, 19)",1.4
9,"range(19, 20)",1.4
9,"range(20, 21)",1.4
9,"range(21, 22)",1.7571428571428571
9,"range(22, 23)",2.071428571428572
9,"range(23, 24)",1.8
9,"range(24, 25)",2.085714285714286
9,"range(25, 26)",2.442857142857143
9,"range(26, 27)",2.414285714285714
9,"range(27, 28)",2.142857142857143
9,"range(28, 29)",2.6142857142857143
9,"range(29, 30)",2.3285714285714287
9,"range(30, 31)",1.8571428571428568
9,"range(31, 32)",2.271428571428572
9,"range(32, 33)",2.2285714285714286
9,"range(33, 34)",3.0285714285714285
9,"range(34, 35)",3.157142857142857
9,"range(35, 36)",3.0285714285714285
9,"range(36, 37)",2.3428571428571425
9,"range(37, 38)",2.3857142857142857
9,"range(38, 39)",2.271428571428572
9,"range(39, 40)",1.4428571428571428
9,"range(40, 41)",1.5
9,"range(41, 42)",1.4857142857142858
9,"range(42, 43)",1.457142857142857
9,"range(43, 44)",1.9714285714285715
9,"range(44, 45)",1.6
9,"range(45, 46)",1.6428571428571428
9,"range(46, 47)",2.0142857142857142
9,"range(47, 48)",1.914285714285714
9,"range(48, 49)",2.071428571428572
9,"range(49, 50)",2.0142857142857142
9,"range(50, 51)",1.6142857142857143
9,"range(51, 52)",1.6285714285714286
9,"range(52, 53)",1.6428571428571428
9,"range(53, 54)",1.6285714285714286
9,"range(54, 55)",0.9142857142857144
9,"range(55, 56)",0.8571428571428571
9,"range(56, 57)",0.7857142857142857
9,"range(57, 58)",0.4714285714285714
9,"range(58, 59)",0.4571428571428572
9,"range(59, 60)",0.7285714285714285
9,"range(60, 61)",1.2
10,"range(1, 2)",0.01
10,"range(2, 3)",0.01
10,"range(3, 4)",0.01
10,"range(4, 5)",0.01
10,"range(5, 6)",0.01
10,"range(6, 7)",0.01
10,"range(7, 8)",0.01
10,"range(8, 9)",0.01
10,"range(9, 10)",0.01
10,"range(10, 11)",0.01
10,"range(11, 12)",0.01
10,"range(12, 13)",0.01
10,"range(13, 14)",0.01
10,"range(14, 15)",0.01
10,"range(15, 16)",0.01
10,"range(16, 17)",0.01
10,"range(17, 18)",0.01
10,"range(18, 19)",0.01
10,"range(19, 20)",0.01
10,"range(20, 21)",0.01
10,"range(21, 22)",0.01
10,"range(22, 23)",0.01
10,"range(23, 24)",0.01
10,"range(24, 25)",0.01
10,"range(25, 26)",0.01
10,"range(26, 27)",0.01
10,"range(27, 28)",0.01
10,"range(28, 29)",0.01
10,"range(29, 30)",0.01
10,"range(30, 31)",0.01
10,"range(31, 32)",0.01
10,"range(32, 33)",0.01
10,"range(33, 34)",0.01
10,"range(34, 35)",0.01
10,"range(35, 36)",0.01
10,"range(36, 37)",0.01
10,"range(37, 38)",0.01
10,"range(38, 39)",0.01
10,"range(39, 40)",0.01
10,"range(40, 41)",0.01
10,"range(41, 42)",0.01
10,"range(42, 43)",0.01
10,"range(43, 44)",0.01
10,"range(44, 45)",0.01
10,"range(45, 46)",0.01
10,"range(46, 47)",0.01
10,"range(47, 48)",0.01
10,"range(48, 49)",0.01
10,"range(49, 50)",0.01
10,"range(50, 51)",0.01
10,"range(51, 52)",0.01
10,"range(52, 53)",0.01
10,"range(53, 54)",0.01
10,"range(54, 55)",0.01
10,"range(55, 56)",0.01
10,"range(56, 57)",0.01
10,"range(57, 58)",0.01
10,"range(58, 59)",0.01
10,"range(59, 60)",0.01
10,"range(60, 61)",0.01
11,"range(1, 2)",0.01
11,"range(2, 3)",0.01
11,"range(3, 4)",0.01
11,"range(4, 5)",0.01
11,"range(5, 6)",0.01
11,"range(6, 7)",0.01
11,"range(7, 8)",0.01
11,"range(8, 9)",0.01
11,"range(9, 10)",0.01
11,"range(10, 11)",0.01
11,"range(11, 12)",0.01
11,"range(12, 13)",0.01
11,"range(13, 14)",0.01
11,"range(14, 15)",0.01
11,"range(15, 16)",0.01
11,"range(16, 17)",0.01
11,"range(17, 18)",0.01
11,"range(18, 19)",0.01
11,"range(19, 20)",0.01
11,"range(20, 21)",0.01
11,"range(21, 22)",0.01
11,"range(22, 23)",0.01
11,"range(23, 24)",0.01
11,"range(24, 25)",0.01
11,"range(25, 26)",0.01
11,"range(26, 27)",0.01
11,"range(27, 28)",0.01
11,"range(28, 29)",0.9285714285714286
11,"range(29, 30)",0.9285714285714286
11,"range(30, 31)",0.9571428571428572
11,"range(31, 32)",0.9
11,"range(32, 33)",0.9428571428571428
11,"range(33, 34)",0.01
11,"range(34, 35)",0.01
11,"range(35, 36)",0.01
11,"range(36, 37)",0.3142857142857143
11,"range(37, 38)",0.3571428571428571
11,"range(38, 39)",0.4428571428571429
11,"range(39, 40)",0.01
11,"range(40, 41)",0.4285714285714285
11,"range(41, 42)",0.4428571428571429
11,"range(42, 43)",0.4142857142857142
11,"range(43, 44)",0.4285714285714285
11,"range(44, 45)",0.01
11,"range(45, 46)",0.01
11,"range(46, 47)",0.01
11,"range(47, 48)",0.01
11,"range(48, 49)",0.3
11,"range(49, 50)",0.2714285714285714
11,"range(50, 51)",0.3
11,"range(51, 52)",0.3142857142857143
11,"range(52, 53)",0.3
11,"range(53, 54)",0.3
11,"range(54, 55)",0.3142857142857143
11,"range(55, 56)",0.2857142857142857
11,"range(56, 57)",0.3285714285714285
11,"range(57, 58)",0.2857142857142857
11,"range(58, 59)",0.01
11,"range(59, 60)",0.01
11,"range(60, 61)",0.01
12,"range(1, 2)",0.01
12,"range(2, 3)",0.01
12,"range(3, 4)",0.01
12,"range(4, 5)",0.01
12,"range(5, 6)",0.01
12,"range(6, 7)",0.01
12,"range(7, 8)",0.01
12,"range(8, 9)",0.01
12,"range(9, 10)",0.01
12,"range(10, 11)",0.01
12,"range(11, 12)",0.01
12,"range(12, 13)",0.01
12,"range(13, 14)",0.01
12,"range(14, 15)",0.01
12,"range(15, 16)",0.01
12,"range(16, 17)",0.01
12,"range(17, 18)",0.01
12,"range(18, 19)",0.01
12,"range(19, 20)",0.01
12,"range(20, 21)",0.01
12,"range(21, 22)",0.01
12,"range(22, 23)",0.01
12,"range(23, 24)",0.01
12,"range(24, 25)",0.01
12,"range(25, 26)",0.01
12,"range(26, 27)",0.01
12,"range(27, 28)",0.01
12,"range(28, 29)",0.01
12,"range(29, 30)",0.01
12,"range(30, 31)",0.01
12,"range(31, 32)",0.01
12,"range(32, 33)",0.01
12,"range(33, 34)",0.01
12,"range(34, 35)",0.01
12,"range(35, 36)",0.01
12,"range(36, 37)",0.01
12,"range(37, 38)",0.01
12,"range(38, 39)",0.01
12,"range(39, 40)",0.01
12,"range(40, 41)",0.01
12,"range(41, 42)",0.01
12,"range(42, 43)",0.01
12,"range(43, 44)",0.01
12,"range(44, 45)",0.01
12,"range(45, 46)",0.01
12,"range(46, 47)",0.01
12,"range(47, 48)",0.01
12,"range(48, 49)",0.01
12,"range(49, 50)",0.01
12,"range(50, 51)",0.01
12,"range(51, 52)",0.01
12,"range(52, 53)",0.01
12,"range(53, 54)",0.01
12,"range(54, 55)",0.01
12,"range(55, 56)",0.01
12,"range(56, 57)",0.01
12,"range(57, 58)",0.01
12,"range(58, 59)",0.01
12,"range(59, 60)",0.01
12,"range(60, 61)",0.01
13,"range(1, 2)",0.5
13,"range(2, 3)",0.5142857142857143
13,"range(3, 4)",0.5857142857142856
13,"range(4, 5)",0.5
13,"range(5, 6)",0.5714285714285714
13,"range(6, 7)",0.7142857142857143
13,"range(7, 8)",0.7999999999999999
13,"range(8, 9)",1.2285714285714289
13,"range(9, 10)",0.4142857142857142
13,"range(10, 11)",0.4142857142857142
13,"range(11, 12)",0.3999999999999999
13,"range(12, 13)",0.4142857142857142
13,"range(13, 14)",0.3999999999999999
13,"range(14, 15)",0.3999999999999999
13,"range(15, 16)",0.3857142857142857
13,"range(16, 17)",0.4142857142857142
13,"range(17, 18)",0.4428571428571429
13,"range(18, 19)",0.4285714285714285
13,"range(19, 20)",0.3999999999999999
13,"range(20, 21)",0.4142857142857142
13,"range(21, 22)",0.9285714285714286
13,"range(22, 23)",0.9285714285714286
13,"range(23, 24)",0.4857142857142857
13,"range(24, 25)",0.01
13,"range(25, 26)",0.01
13,"range(26, 27)",0.01
13,"range(27, 28)",0.01
13,"range(28, 29)",0.01
13,"range(29, 30)",0.01
13,"range(30, 31)",0.01
13,"range(31, 32)",0.01
13,"range(32, 33)",0.01
13,"range(33, 34)",0.01
13,"range(34, 35)",0.01
13,"range(35, 36)",0.01
13,"range(36, 37)",0.01
13,"range(37, 38)",0.01
13,"range(38, 39)",0.4142857142857142
13,"range(39, 40)",1.3142857142857145
13,"range(40, 41)",0.6285714285714287
13,"range(41, 42)",0.5142857142857143
13,"range(42, 43)",0.6285714285714287
13,"range(43, 44)",0.01
13,"range(44, 45)",0.2142857142857142
13,"range(45, 46)",1.1714285714285713
13,"range(46, 47)",0.01
13,"range(47, 48)",1.1285714285714286
13,"range(48, 49)",1.1428571428571428
13,"range(49, 50)",0.01
13,"range(50, 51)",0.01
13,"range(51, 52)",0.01
13,"range(52, 53)",0.3428571428571428
13,"range(53, 54)",0.3857142857142857
13,"range(54, 55)",0.3857142857142857
13,"range(55, 56)",0.3999999999999999
13,"range(56, 57)",0.4571428571428572
13,"range(57, 58)",0.4285714285714285
13,"range(58, 59)",0.01
13,"range(59, 60)",0.01
13,"range(60, 61)",0.01
14,"range(1, 2)",0.01
14,"range(2, 3)",0.01
14,"range(3, 4)",0.01
14,"range(4, 5)",0.01
14,"range(5, 6)",0.01
14,"range(6, 7)",0.01
14,"range(7, 8)",0.01
14,"range(8, 9)",0.01
14,"range(9, 10)",0.01
14,"range(10, 11)",0.01
14,"range(11, 12)",0.01
14,"range(12, 13)",0.01
14,"range(13, 14)",0.01
14,"range(14, 15)",0.01
14,"range(15, 16)",0.01
14,"range(16, 17)",0.01
14,"range(17, 18)",0.01
14,"range(18, 19)",0.01
14,"range(19, 20)",0.01
14,"range(20, 21)",0.01
14,"range(21, 22)",0.01
14,"range(22, 23)",0.01
14,"range(23, 24)",0.01
14,"range(24, 25)",0.01
14,"range(25, 26)",0.01
14,"range(26, 27)",0.01
14,"range(27, 28)",0.01
14,"range(28, 29)",0.01
14,"range(29, 30)",0.01
14,"range(30, 31)",0.01
14,"range(31, 32)",0.01
14,"range(32, 33)",0.01
14,"range(33, 34)",0.01
14,"range(34, 35)",0.01
14,"range(35, 36)",0.01
14,"range(36, 37)",0.01
14,"range(37, 38)",0.01
14,"range(38, 39)",0.01
14,"range(39, 40)",0.01
14,"range(40, 41)",0.01
14,"range(41, 42)",0.01
14,"range(42, 43)",0.01
14,"range(43, 44)",0.01
14,"range(44, 45)",0.01
14,"range(45, 46)",0.01
14,"range(46, 47)",0.01
14,"range(47, 48)",0.01
14,"range(48, 49)",0.01
14,"range(49, 50)",0.01
14,"range(50, 51)",0.01
14,"range(51, 52)",0.01
14,"range(52, 53)",0.01
14,"range(53, 54)",0.01
14,"range(54, 55)",0.01
14,"range(55, 56)",0.01
14,"range(56, 57)",0.01
14,"range(57, 58)",0.01
14,"range(58, 59)",0.01
14,"range(59, 60)",0.01
14,"range(60, 61)",0.01
15,"range(1, 2)",0.01
15,"range(2, 3)",0.01
15,"range(3, 4)",0.01
15,"range(4, 5)",0.01
15,"range(5, 6)",0.01
15,"range(6, 7)",0.01
15,"range(7, 8)",0.01
15,"range(8, 9)",0.01
15,"range(9, 10)",0.01
15,"range(10, 11)",0.01
15,"range(11, 12)",0.01
15,"range(12, 13)",0.01
15,"range(13, 14)",0.01
15,"range(14, 15)",0.01
15,"range(15, 16)",0.01
15,"range(16, 17)",0.01
15,"range(17, 18)",0.01
15,"range(18, 19)",0.01
15,"range(19, 20)",0.01
15,"range(20, 21)",0.01
15,"range(21, 22)",0.01
15,"range(22, 23)",0.01
15,"range(23, 24)",0.01
15,"range(24, 25)",0.01
15,"range(25, 26)",0.01
15,"range(26, 27)",0.01
15,"range(27, 28)",0.01
15,"range(28, 29)",0.01
15,"range(29, 30)",0.01
15,"range(30, 31)",0.01
15,"range(31, 32)",0.01
15,"range(32, 33)",0.01
15,"range(33, 34)",0.01
15,"range(34, 35)",0.01
15,"range(35, 36)",0.01
15,"range(36, 37)",0.01
15,"range(37, 38)",0.01
15,"range(38, 39)",0.01
15,"range(39, 40)",0.01
15,"range(40, 41)",0.01
15,"range(41, 42)",0.01
15,"range(42, 43)",0.01
15,"range(43, 44)",0.01
15,"range(44, 45)",0.01
15,"range(45, 46)",0.01
15,"range(46, 47)",0.01
15,"range(47, 48)",0.01
15,"range(48, 49)",0.01
15,"range(49, 50)",0.01
15,"range(50, 51)",0.01
15,"range(51, 52)",0.01
15,"range(52, 53)",0.01
15,"range(53, 54)",0.01
15,"range(54, 55)",0.01
15,"range(55, 56)",0.01
15,"range(56, 57)",0.01
15,"range(57, 58)",0.01
15,"range(58, 59)",0.01
15,"range(59, 60)",0.01
15,"range(60, 61)",0.01
